datetime,No,PM2.5,TEMP,PRES,DEWP,RAIN,WSPM,station,wd
2013-03-01 00:00,1,6.0,0.1,1021.1,-18.6,0.0,4.4,Gucheng,8
2013-03-01 01:00,2,6.0,-0.3,1021.5,-19.0,0.0,4.0,Gucheng,8
2013-03-01 02:00,3,5.0,-0.7,1021.5,-19.8,0.0,4.6,Gucheng,15
2013-03-01 03:00,4,6.0,-1.0,1022.7,-21.2,0.0,2.8,Gucheng,14
2013-03-01 04:00,5,5.0,-1.3,1023.0,-21.4,0.0,3.6,Gucheng,15
2013-03-01 05:00,6,4.0,-1.8,1023.6,-21.9,0.0,1.2,Gucheng,0
2013-03-01 06:00,7,3.0,-2.6,1024.3,-20.4,0.0,1.2,Gucheng,1
2013-03-01 07:00,8,5.0,-0.9,1025.6,-20.5,0.0,1.1,Gucheng,1
2013-03-01 08:00,9,5.0,0.1,1026.1,-20.3,0.0,3.0,Gucheng,1
2013-03-01 09:00,10,4.0,1.1,1026.1,-20.6,0.0,2.8,Gucheng,4
2013-03-01 10:00,11,7.0,1.9,1026.1,-21.3,0.0,3.0,Gucheng,1
2013-03-01 11:00,12,3.0,3.3,1026.1,-20.9,0.0,3.2,Gucheng,1
2013-03-01 12:00,13,9.0,4.1,1025.1,-20.3,0.0,3.2,Gucheng,1
2013-03-01 13:00,14,10.0,5.3,1024.1,-20.1,0.0,2.7,Gucheng,4
2013-03-01 14:00,15,13.0,5.5,1023.8,-20.0,0.0,2.1,Gucheng,4
2013-03-01 15:00,16,13.0,6.3,1023.5,-19.3,0.0,2.7,Gucheng,1
2013-03-01 16:00,17,11.0,5.9,1023.6,-18.8,0.0,1.8,Gucheng,1
2013-03-01 17:00,18,10.0,5.1,1024.2,-18.7,0.0,1.0,Gucheng,15
2013-03-01 18:00,19,11.0,3.7,1025.3,-19.2,0.0,1.6,Gucheng,0
2013-03-01 19:00,20,11.0,2.7,1026.1,-19.3,0.0,1.7,Gucheng,0
2013-03-01 20:00,21,13.0,1.6,1027.1,-18.4,0.0,1.9,Gucheng,2
2013-03-01 21:00,22,15.0,1.0,1028.1,-17.4,0.0,0.7,Gucheng,11
2013-03-01 22:00,23,16.0,1.3,1028.4,-17.6,0.0,1.0,Gucheng,0
2013-03-01 23:00,24,16.0,0.2,1028.6,-17.6,0.0,1.1,Gucheng,2
2013-03-02 00:00,25,14.0,-0.3,1028.9,-18.0,0.0,1.4,Gucheng,1
2013-03-02 01:00,26,18.0,-0.7,1029.2,-17.9,0.0,1.0,Gucheng,0
2013-03-02 02:00,27,19.0,-0.8,1028.8,-18.0,0.0,1.4,Gucheng,1
2013-03-02 03:00,28,15.0,-1.2,1028.6,-17.9,0.0,1.1,Gucheng,1
2013-03-02 04:00,29,13.0,-1.3,1028.7,-18.9,0.0,1.1,Gucheng,4
2013-03-02 05:00,30,12.0,-1.3,1028.0,-18.4,0.0,1.4,Gucheng,1
2013-03-02 06:00,31,12.0,-1.6,1027.5,-18.6,0.0,0.7,Gucheng,1
2013-03-02 07:00,32,3.0,-1.3,1028.0,-17.9,0.0,0.6,Gucheng,2
2013-03-02 08:00,33,3.0,-0.6,1027.7,-17.8,0.0,0.9,Gucheng,5
2013-03-02 09:00,34,10.0,0.3,1027.8,-17.5,0.0,0.7,Gucheng,13
2013-03-02 10:00,35,15.0,1.7,1027.2,-17.3,0.0,1.9,Gucheng,13
2013-03-02 11:00,36,20.0,2.5,1026.4,-17.1,0.0,2.0,Gucheng,12
2013-03-02 12:00,37,26.0,3.1,1025.1,-17.2,0.0,2.2,Gucheng,12
2013-03-02 13:00,38,31.0,3.5,1023.7,-17.4,0.0,1.2,Gucheng,11
2013-03-02 14:00,39,32.0,3.7,1022.9,-16.7,0.0,1.1,Gucheng,11
2013-03-02 15:00,40,36.0,3.8,1022.3,-16.0,0.0,1.2,Gucheng,11
2013-03-02 16:00,41,47.0,3.6,1021.7,-15.1,0.0,1.4,Gucheng,9
2013-03-02 17:00,42,59.0,3.2,1021.6,-14.5,0.0,1.4,Gucheng,11
2013-03-02 18:00,43,63.0,2.8,1021.2,-13.9,0.0,0.6,Gucheng,9
2013-03-02 19:00,44,70.0,1.4,1021.1,-13.5,0.0,0.7,Gucheng,0
2013-03-02 20:00,45,86.0,1.4,1021.1,-14.7,0.0,0.9,Gucheng,0
2013-03-02 21:00,46,98.0,0.5,1020.7,-13.6,0.0,0.6,Gucheng,10
2013-03-02 22:00,47,98.0,-0.8,1020.2,-12.7,0.0,0.6,Gucheng,6
2013-03-02 23:00,48,86.0,-1.9,1019.2,-11.5,0.0,0.0,Gucheng,8
2013-03-03 00:00,49,81.0,-2.5,1018.4,-11.0,0.0,0.5,Gucheng,15
2013-03-03 01:00,50,80.0,-2.6,1017.6,-10.9,0.0,0.2,Gucheng,13
2013-03-03 02:00,51,84.0,-3.1,1016.2,-11.1,0.0,0.8,Gucheng,10
2013-03-03 03:00,52,87.0,-3.6,1015.4,-11.6,0.0,0.2,Gucheng,13
2013-03-03 04:00,53,79.0,-4.2,1014.9,-11.2,0.0,0.0,Gucheng,2
2013-03-03 05:00,54,54.0,-4.4,1014.5,-11.0,0.0,0.0,Gucheng,3
2013-03-03 06:00,55,76.0,-4.7,1014.4,-11.5,0.0,0.9,Gucheng,8
2013-03-03 07:00,56,82.0,-2.5,1014.7,-10.3,0.0,0.9,Gucheng,11
2013-03-03 08:00,57,78.0,1.2,1014.1,-12.6,0.0,0.5,Gucheng,4
2013-03-03 09:00,58,77.0,3.8,1013.6,-12.6,0.0,0.5,Gucheng,12
2013-03-03 10:00,59,87.0,6.4,1012.8,-12.2,0.0,1.4,Gucheng,10
